State,Insurer,Projected IFP Rate Change,Minimum Rate Change,Maximum Rate Change
Alabama,Blue Cross and Blue Shield of Alabama ,3.90%,1.20%,4.20%
Alabama,Bright Health Insurance Company,8.10%,0.00%,13.00%
Alabama,UnitedHealthcare Insurance Company,13.90%,11.20%,15.00%
Alaska,Moda Assurance Company,4.00%,2.10%,5.70%
Alaska,Premera Blue Cross Blue Shield of AK,20.50%,19.40%,21.40%
Arizona,Banner Health and Aetna Health Plan,-5.50%,-22.60%,-3.70%
Arizona,Blue Cross and Blue Shield of Arizona,7.60%,-1.30%,13.20%
Arizona,Bright Health Company of Arizona,4.20%,-6.00%,10.90%
Arizona,Cigna HealthCare of Arizona,0.10%,-2.70%,9.50%
Arizona,Health Net of Arizona,-2.40%,-8.80%,-0.40%
Arizona,Medica Community Health Plan,7.10%,5.90%,1.50%
Arizona,Oscar Health Plan,5.50%,3.50%,8.00%
Arizona,UnitedHealthcare of Arizona,12.40%,0.20%,16.30%
Arkansas,Celtic Insurance Company,7.60%,5.20%,13.60%
Arkansas,HMO Partners,5.30%,5.30%,5.40%
Arkansas,QCA Health Plan,5.00%,5.00%,7.50%
Arkansas,QualChoice Life & Health Insurance Co.,3.10%,3.10%,3.10%
Arkansas,USAble Mutual Insurance Co.,5.90%,3.90%,14.40%
California,Sutter Health Plan,3.30%,1.30%,4.50%
California,Universal Care,4.80%,-8.30%,7.80%
California,Western Health Advantage,1.90%,0.00%,3.80%
California,Blue Cross of California,6.00%,2.20%,13.40%
California,CA Physician's Service dba Blue Shield of CA,10.40%,1.50%,13.50%
California,Chinese Community Health Plan,3.30%,2.90%,5.30%
California,County of Santa Clara,6.30%,-1.30%,7.70%
California,Health Net of California,2.40%,0.20%,5.90%
California,Kaiser Fundation Health Plan,4.00%,0.70%,7.40%
California,Molina Healthcare of California,10.70%,9.00%,14.60%
California,Local Initiative Health Authority of LA,2.00%,0.60%,3.40%
California,Oscar Health Plan of California,13.50%,9.80%,15.90%
California,Sharp Health Plan,6.70%,5.50%,9.90%
Colorado,Bright Health Insurance Company,21.00%,9.20%,57.70%
Colorado,Cigna Health and Life Insurance Co.,9.20%,7.70%,12.30%
Colorado,Denver Health Medical Plan,-2.60%,-5.80%,0.00%
Colorado,Friday Health Plans of Colorado,24.20%,19.80%,27.90%
Colorado,HMO Colorado,8.40%,2.80%,16.80%
Colorado,Kaiser Fundation Health Plan of CO.,0.10%,-3.90%,2.60%
Colorado,Rocky Mountain HMO,13.60%,0.00%,29.10%
Colorado,"Rocky Mountain Hospital and Medical Service, dba Anthem BC and BS",8.40%,8.40%,8.40%
Conneticut,Anthem Health Plans Inc,8.60%,-1.80%,16.10%
Conneticut,ConnetiCare Benefits,22.80%,18.70%,33.20%
Conneticut,ConnetiCare Insurance Company,24.80%,17.00%,32.30%
Conneticut,ConnetiCare,23.50%,19.90%,34.50%
Delaware,Highmark BCBSD,5.50%,2.70%,12.50%
D.C.,CareFirst BlueChoice,29.10%,12.20%,38.70%
D.C.,GHMSI,17.90%,16.90%,19.40%
D.C.,Kaiser Foundation Health Plan of the Mid-Atlantic States,17.00%,10.20%,21.50%
Florida,AvMed,29.00%,12.00%,35.00%
Florida,Bright Health Insurance Company of FL,0.80%,-17.20%,14.40%
Florida,Capital Health Plan,-1.20%,-4.50%,0.00%
Florida,Cigna Health and Life Insurance Co.,6.90%,-0.20%,13.60%
Florida,Florida Health Care Plan,3.60%,-1.80%,8.60%
Florida,Health First Commercial Plans,3.00%,-7.90%,7.90%
Florida,Molina Healthcare of Florida,8.40%,0.00%,9.50%
Florida,Oscar Insurance Company of Florida,6.90%,1.60%,8.10%
Florida,UnitedHealthcare of Florida,13.90%,0.00%,21.00%
Georgia,Alliant Health Plans,13.10%,8.60%,16.20%
Georgia,Ambetter of Peach State,20.60%,11.90%,27.60%
Georgia,Anthem Blue Cross and Blue Shield,17.70%,10.70%,22.20%
Georgia,Bright Health Company of Georgia,5.90%,-7.90%,8.10%
Georgia,CareSource Georgia Co.,15.90%,10.10%,18.00%
Georgia,Cigna HealthCare of Georgia,1.10%,-1.10%,5.70%
Georgia,Kaiser Foundation Health Plan of Georgia,6.50%,-7.10%,8.20%
Georgia,Oscar Health Plan of Georgia,10.30%,5.70%,11.10%
Georgia,United Healthcare of Georgia,23.90%,15.70%,28.60%
Hawaii,Hawaii Medical Service Association,1.80%,-9.90%,6.10%
Hawaii,Kaiser Foundation Health Plan,2.00%,-1.80%,7.00%
Idaho,Blue Cross of Idaho Health Service,-0.90%,-3.30%,4.20%
Idaho,Molina Healthcare of Utah,-0.20%,-1.60%,1.90%
Idaho,Montana Health Cooperative,-1.00%,-21.70%,7.70%
Idaho,PacificSource Health Plans,-1.70%,-6.60%,3.90%
Idaho,Regence Blue Shield of Idaho,-9.00%,-11.70%,-3.60%
Idaho,SelectHealth,-2.60%,-8.40%,2.80%
Illinois,Blue Cross Blue Shield of Illinois,5.30%,-6.40%,16.20%
Illinois,Celtic Insurance Company,13.70%,6.30%,17.10%
Illinois,Cigna HealthCare of Illinois,3.30%,-3.20%,15.80%
Illinois,Health Alliance Medical Plans,6.80%,1.30%,11.70%
Illinois,MercyCare HMO,7.80%,-0.90%,14.20%
Illinois,Molina Healthcare of Illinois,4.20%,-2.10%,6.90%
Illinois,Oscar Health Plan,9.20%,1.20%,13.10%
Illinois,SSM Health Plan,11.40%,-2.20%,14.70%
Illinois,Quartz Health Benefits Plans Corporation,11.80%,10.20%,13.40%
Illinois,United Healthcare of Illinois,15.90%,11.20%,18.80%
Indiana,Anthem Ins Companies Inc,0.50%,-34.40%,4.40%
Indiana,CareSource indiana,9.50%,5.70%,14.80%
Indiana,Celtic Insurance Company,2.10%,-2.90%,4.90%
Indiana,US Health and Life Insurance Company,2.50%,-1.60%,6.40%
Iowa,Medica Insurance Company,9.70%,4.80%,17.80%
Iowa,Oscar Insurance Company ,5.00%,0.10%,7.70%
Iowa,Wellmark Health Plan of Iowa,-0.90%,-3.50%,31.20%
Kansas,Blue Cross and Blue Shield of KC,21.40%,15.40%,29.80%
Kansas,Blue Cross and Blue Shield of Kansas,14.10%,9.90%,19.70%
Kansas,Celtic Insurance Company,5.10%,1.60%,8.60%
Kansas,Cigna Health and Life Insurance Co.,18.10%,3.10%,35.00%
Kansas,Medica Insurance Company,3.90%,1.30%,8.80%
Kansas,Oscar Insurance Company,3.80%,-1.10%,6.10%
Kansas,US Health and Life Insurance Company,2.30%,-2.10%,9.50%
Kentucky,Anthem BCBS,5.30%,-7.20%,11.60%
Kentucky,CareSource Kentucky Co.,7.20%,3.40%,8.30%
Kentucky,Molina Healthcare of Kentucky,7.10%,7.00%,7.10%
Kentucky,Wellcare Health Plans of Kentucky,3.30%,-3.00%,6.70%
Louisiana,CHRISTUS Health Plan Louisiana,9.60%,8.70%,12.40%
Louisiana,HMO Louisiana,4.60%,-6.40%,7.70%
Louisiana,Louisiana Health Service and Indemnity Co.,-19.90%,-21.90%,-1.80%
Louisiana,Louisiana Healthcare Connections,10.40%,3.70%,13.50%
Louisiana,UnitedHealthcare Insurance Company,11.80%,7.40%,17.40%
Louisiana,Vantage Health Plan,5.80%,2.30%,7.50%
Maine,Anthem BCBS,10.80%,3.80%,25.30%
Maine,Harvard Pilgrim Health Care,12.90%,-1.90%,19.00%
Maine,Maine Community Health Options,8.40%,4.50%,12.20%
Maryland,CareFirst BlueChoice,11.20%,7.60%,15.10%
Maryland,CareFIrst of Maryland,25.90%,24.70%,26.70%
Maryland,GHMSI,26.00%,24.70%,26.70%
Maryland,Kaiser Fundation Health Plan of the Mid-Atlantic States,7.20%,-1.80%,13.40%
Maryland,Optimum Choice,8.70%,0.70%,14.80%
Massachusetts,AllWays Health Partners,6.40%,0.00%,16.10%
Massachusetts,Blue Cross and Blue Shield of Massachusetts,8.50%,0.00%,12.70%
Massachusetts,Boston Medical Center Health Plan,9.70%,9.70%,97500.00%
Massachusetts,ConnectiCare of Massachusetts,15.40%,13.60%,16.70%
Massachusetts,Fallon Community Health Plan,6.90%,6.20%,17.30%
Massachusetts,Harvard Pilgrim Health Care,7.10%,-2.10%,10.40%
Massachusetts,Health New England,9.50%,5.30%,20.20%
Massachusetts,HPHC Insurance Company,9.30%,9.30%,9.70%
Massachusetts,Tufts Health Public Plans,2.50%,0.70%,10.40%
Massachusetts,UnitedHealthcare Insurance Company,11.00%,3.90%,23.60%
Michigan,Alliance Health and Life Insurance Co.,10.30%,6.90%,12.30%
Michigan,Blue Care Network of Michigan,8.60%,-2.50%,19.10%
Michigan,Blue Cross Blue Shield of Michigan Mutual Insurance Co.,-2.80%,-8.80%,0.40%
Michigan,Health Alliance Plan,2.00%,-1.80%,3.40%
Michigan,McLaren Health Plan Community,12.30%,6.00%,22.40%
Michigan,Meridian Health Plan of Michigan,12.60%,0.00%,19.80%
Michigan,Molina Healthcare of Michigan,3.60%,1.50%,3.80%
Michigan,Oscare Insurance Company,1.70%,-1.60%,6.00%
Michigan,Physicians Health plan,12.90%,4.40%,14.90%
Michigan,Priority Health,7.90%,3.10%,13.20%
Michigan,United Healthcare Community Plan,10.10%,6.40%,14.40%
Michigan,US Health and Life Insurance Company,0.90%,-1.50%,3.10%
Minnesota,HealthPartners,1.90%,0.30%,5.60%
Minnesota,HMO Minnesota dba Blue Plus,-2.20%,-9.40%,7.20%
Minnesota,Medica Insurance Company,6.00%,-1.80%,14.70%
Minnesota,PreferredOne Insurance Compay,17.60%,12.10%,24.30%
Minnesota,Quartz Health Plan MN Corporation,22.70%,20.50%,24.30%
Minnesota,UCare Minnesota,6.20%,1.80%,9.80%
Mississippi,Ambetter of Magnolia,3.00%,-1.90%,5.50%
